CFSAUID,PRUID_fire,PRNAME_fire,LANDAREA_fire,num_wildfires,total_area_burned,avg_area_burned,years_with_fires,fires_per_100km2,burned_percent,PRUID_wind,PRNAME_wind,LANDAREA_wind,num_wind_events,num_tornadoes,avg_max_wind,max_max_wind,avg_path_length_km,avg_path_width_m,wind_events_per_100km2,risk_cluster,risk_label
A0G,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,15499.6047,7,242.498,34.64257142857143,6,0.0451624421105397,1.5645431267030958,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,15499.6047,1,0,,,,,0.0064517774443628,0,Low
A0K,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,58466.1398,9,15156.487,1684.0541111111113,4,0.015393525262292,25.92352950245571,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,58466.1398,1,1,110.0,110.0,,,0.0017103916958102,0,Low
A0R,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,64964.7996,52,570657.9185504328,10974.190741354476,14,0.0800433470435888,878.4109580327756,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,64964.7996,1,1,190.0,190.0,3.91,320.0,0.0015392951354536,0,Low
B0M,12,Nova Scotia / Nouvelle-Écosse,4101.9623,42,118.06136049656,2.8109847737276192,10,1.023900195279708,2.878167858747995,12,Nova Scotia / Nouvelle-Écosse,4101.9623,1,0,,,,,0.0243785760780882,0,Low
B0N,12,Nova Scotia / Nouvelle-Écosse,4851.283,40,214.95115903813,5.3737789759532495,8,0.8245241516522537,4.430810551314569,12,Nova Scotia / Nouvelle-Écosse,4851.283,2,1,135.0,155.0,0.62,50.0,0.0412262075826126,0,Low
B2S,12,Nova Scotia / Nouvelle-Écosse,458.5052,2,3.69,1.845,1,0.4362000692685709,0.8047891278005135,12,Nova Scotia / Nouvelle-Écosse,458.5052,1,1,,,,,0.2181000346342854,0,Low
E7C,13,New Brunswick / Nouveau-Brunswick,1066.1272,1,0.8,0.8,1,0.0937974380542959,0.0750379504434367,13,New Brunswick / Nouveau-Brunswick,1066.1272,2,0,,,,,0.1875948761085919,0,Low
E7H,13,New Brunswick / Nouveau-Brunswick,583.6354,1,105.0,105.0,1,0.1713398467604946,17.99068390985194,13,New Brunswick / Nouveau-Brunswick,583.6354,1,0,145.0,145.0,,,0.1713398467604946,0,Low
E8A,13,New Brunswick / Nouveau-Brunswick,2478.2472,1,79.0,79.0,1,0.0403510997611537,3.187736881131148,13,New Brunswick / Nouveau-Brunswick,2478.2472,5,1,190.0,190.0,3.03,290.0,0.2017554988057688,0,Low
G0A,24,Quebec / Québec,11122.098,16,269.943765655655,16.871485353478437,7,0.1438577505790724,2.427093931879174,24,Quebec / Québec,11122.098,7,7,146.42857142857142,215.0,5.158571428571428,221.66666666666663,0.0629377658783441,0,Low
G0C,24,Quebec / Québec,8551.1387,20,208.2725602989821,10.413628014949106,6,0.2338869792861622,2.4356119998262,24,Quebec / Québec,8551.1387,1,0,,,,,0.0116943489643081,0,Low
G0G,24,Quebec / Québec,127524.3928,293,1346052.5340018603,4594.03595222478,21,0.2297599647931826,1055.525538641781,24,Quebec / Québec,127524.3928,1,1,145.0,145.0,0.83,230.0,0.0007841637023658,0,Low
G0J,24,Quebec / Québec,11515.5635,4,19.088137145787,4.7720342864467495,3,0.034735599347787,0.165759471047917,24,Quebec / Québec,11515.5635,2,0,145.0,145.0,,,0.0173677996738935,0,Low
G0K,24,Quebec / Québec,3827.3675,1,0.1,0.1,1,0.0261276190488632,0.0026127619048863,24,Quebec / Québec,3827.3675,4,0,122.5,130.0,,,0.1045104761954528,0,Low
G0L,24,Quebec / Québec,7984.214,8,640.2472828645,80.0309103580625,5,0.1001977151414027,8.018914358564286,24,Quebec / Québec,7984.214,2,1,,,,,0.0250494287853506,0,Low
G0M,24,Quebec / Québec,3126.5538,4,7.0795703285350005,1.76989258213375,3,0.1279363879809136,0.2264336640724046,24,Quebec / Québec,3126.5538,1,1,170.0,170.0,7.2,300.0,0.0319840969952284,0,Low
G0N,24,Quebec / Québec,1560.109,1,2.45054281144,2.45054281144,1,0.0640980854542855,0.1570751025370663,24,Quebec / Québec,1560.109,1,1,190.0,190.0,16.2,990.0,0.0640980854542855,0,Low
G0P,24,Quebec / Québec,907.9263,6,9.65553894481,1.6092564908016669,5,0.6608465907420019,1.0634716655757193,24,Quebec / Québec,907.9263,2,0,,,,,0.2202821969140006,0,Low
G0R,24,Quebec / Québec,7117.3534,4,3.5975480188399995,0.8993870047099999,3,0.0562006658261482,0.0505461485000871,24,Quebec / Québec,7117.3534,5,2,130.0,130.0,5.97,550.0,0.0702508322826853,0,Low
G0S,24,Quebec / Québec,3444.0204,5,4.7265373205964,0.94530746411928,4,0.1451791632825403,0.1372389466855771,24,Quebec / Québec,3444.0204,6,4,124.0,150.0,1.49,60.0,0.1742149959390484,0,Low
G0T,24,Quebec / Québec,2297.7322,19,87.294616177265,4.594453483013948,10,0.8269022821719606,3.7991640704371465,24,Quebec / Québec,2297.7322,2,0,130.0,140.0,,,0.0870423454917853,0,Low
G0V,24,Quebec / Québec,38016.179,142,561360.9158959597,3953.2458865912654,18,0.3735251772672893,1476.6368705701848,24,Quebec / Québec,38016.179,7,6,156.66666666666666,190.0,6.7683333333333335,278.3333333333333,0.0184132129638804,0,Low
G0W,24,Quebec / Québec,23303.0543,102,201636.9441178105,1976.832785468731,16,0.4377108626485928,865.2811838395387,24,Quebec / Québec,23303.0543,5,4,133.0,145.0,6.263333333333333,433.3333333333333,0.0214564148357153,0,Low
G0X,24,Quebec / Québec,31080.7623,128,178879.96691249782,1397.4997415038893,21,0.4118303108672467,575.5327529804437,24,Quebec / Québec,31080.7623,26,19,160.27777777777777,190.0,6.760625,493.75,0.0836530318949094,2,Medium
G0Z,24,Quebec / Québec,620.9932,3,40.251618749889,13.417206249963,2,0.4830970773915076,6.481813126116196,24,Quebec / Québec,620.9932,1,0,145.0,145.0,,,0.1610323591305025,0,Low
G3C,24,Quebec / Québec,671.61,2,29.8347874346266,14.9173937173133,2,0.2977918732597787,4.442278619232382,24,Quebec / Québec,671.61,1,1,145.0,145.0,5.61,230.0,0.1488959366298893,0,Low
G4R,24,Quebec / Québec,26778.6185,50,553870.125748996,11077.40251497992,15,0.1867161295120583,2068.3297226441914,24,Quebec / Québec,26778.6185,1,0,130.0,130.0,,,0.0037343225902411,0,Low
G4X,24,Quebec / Québec,2866.9162,4,33.489969471831,8.37249236795775,2,0.139522738753229,1.1681530653679728,24,Quebec / Québec,2866.9162,1,0,,,,,0.0348806846883072,0,Low
G4Z,24,Quebec / Québec,42369.1968,87,58525.67348105657,672.7088905868571,16,0.2053378552599798,138.13260080742566,24,Quebec / Québec,42369.1968,4,3,160.0,190.0,5.23,400.0,0.0094408209314933,0,Low
G7A,24,Quebec / Québec,94.7399,1,0.699615498105,0.699615498105,1,1.0555214856676014,0.7384591899558687,24,Quebec / Québec,94.7399,1,0,,,,,1.0555214856676014,0,Low
G8J,24,Quebec / Québec,15119.9799,46,204157.1012243975,4438.197852704294,11,0.3042332086698078,1350.2471734396784,24,Quebec / Québec,15119.9799,4,3,145.0,145.0,7.57,366.6666666666667,0.0264550616234615,0,Low
G8K,24,Quebec / Québec,361.2722,3,72.24488072939,24.081626909796668,2,0.830398796253905,19.9973539977308,24,Quebec / Québec,361.2722,2,1,,,,,0.5535991975026033,0,Low
G8L,24,Quebec / Québec,16026.119,64,353336.04858567164,5520.875759151119,15,0.3993480892036306,2204.751185147644,24,Quebec / Québec,16026.119,3,1,120.0,145.0,8.98,310.0,0.0187194416814201,0,Low
G8N,24,Quebec / Québec,1131.6707,3,11.14302916147,3.714343053823333,3,0.2650947841982655,0.984652970291623,24,Quebec / Québec,1131.6707,1,1,210.0,210.0,22.8,900.0,0.0883649280660884,0,Low
G9T,24,Quebec / Québec,66.1901,1,0.5,0.5,1,1.5107999534673615,0.7553999767336808,24,Quebec / Québec,66.1901,1,0,,,,,1.5107999534673615,0,Low
G9X,24,Quebec / Québec,7796.8026,13,154022.53853624762,11847.887579711356,5,0.1667350151971271,1975.457715657026,24,Quebec / Québec,7796.8026,10,8,170.55555555555554,215.0,9.0475,581.25,0.12825770399779,0,Low
J0A,24,Quebec / Québec,1320.2669,2,18.142280957902003,9.071140478951,2,0.1514845218038867,1.3741373776697727,24,Quebec / Québec,1320.2669,2,1,125.0,125.0,3.65,150.0,0.1514845218038867,0,Low
J0B,24,Quebec / Québec,5103.8733,9,64.98684332439,7.220760369376666,8,0.1763366657240492,1.2732848075282353,24,Quebec / Québec,5103.8733,4,2,135.0,155.0,9.05,310.0,0.0783718514329107,0,Low
J0C,24,Quebec / Québec,1080.3758,4,5.941697305723,1.48542432643075,3,0.3702415400270906,0.5499657902114246,24,Quebec / Québec,1080.3758,2,1,115.0,115.0,1.74,30.0,0.1851207700135453,0,Low
J0E,24,Quebec / Québec,2236.4971,10,36.624609217251695,3.662460921725169,7,0.4471277874672853,1.6375880486163694,24,Quebec / Québec,2236.4971,2,1,127.5,130.0,1.85,200.0,0.089425557493457,0,Low
J0G,24,Quebec / Québec,1048.4694,3,33.09396838383,11.03132279461,3,0.2861313835196335,3.1564076532734284,24,Quebec / Québec,1048.4694,1,0,125.0,125.0,,,0.0953771278398778,0,Low
J0H,24,Quebec / Québec,1954.1085,5,5.188968360155,1.037793672031,3,0.2558711555678715,0.2655414661035966,24,Quebec / Québec,1954.1085,3,1,115.0,115.0,5.84,230.0,0.1535226933407229,0,Low
J0J,24,Quebec / Québec,1510.2477,2,7.83822821267,3.919114106335,1,0.1324286075721221,0.5190028240182057,24,Quebec / Québec,1510.2477,7,2,126.66666666666669,150.0,3.07,50.0,0.4635001265024274,0,Low
J0K,24,Quebec / Québec,12791.2938,34,121.22469245678772,3.5654321310819914,9,0.2658057936250358,0.9477125172184514,24,Quebec / Québec,12791.2938,21,16,149.11764705882354,190.0,7.198,272.0,0.1641741666507574,2,Medium
J0N,24,Quebec / Québec,216.8419,3,9.73709892849,3.2456996428300005,2,1.3834964552514988,4.490413950666361,24,Quebec / Québec,216.8419,2,0,120.0,150.0,,,0.922330970167666,0,Low
J0P,24,Quebec / Québec,581.7591,2,2.221546701396,1.110773350698,2,0.3437849102833114,0.3818671167148051,24,Quebec / Québec,581.7591,2,1,155.0,155.0,14.4,250.0,0.3437849102833114,0,Low
J0S,24,Quebec / Québec,1459.7824,6,66.938676178366,11.156446029727666,4,0.4110201630051163,4.585524265696448,24,Quebec / Québec,1459.7824,5,0,137.5,150.0,,,0.3425168025042636,0,Low
J0T,24,Quebec / Québec,5319.6991,24,127.420361344103,5.309181722670958,8,0.451153336849447,2.3952550501230983,24,Quebec / Québec,5319.6991,10,7,155.0,195.0,5.188571428571429,437.1428571428572,0.1879805570206029,0,Low
J0V,24,Quebec / Québec,2377.9266,13,30.157337554939,2.319795196533769,3,0.54669475500211,1.2682198666241002,24,Quebec / Québec,2377.9266,5,1,125.0,145.0,,,0.2102672134623499,0,Low
J0W,24,Quebec / Québec,9333.9895,20,257.220300641135,12.86101503205675,11,0.2142706502937463,2.7557380543564465,24,Quebec / Québec,9333.9895,11,11,175.45454545454547,230.0,11.872727272727271,596.3636363636364,0.1178488576615604,2,Medium
J0X,24,Quebec / Québec,22196.4282,88,447.745371876989,5.0880155895112384,13,0.3964601836253997,2.017195594906522,24,Quebec / Québec,22196.4282,26,15,148.0,190.0,5.816000000000001,256.6666666666667,0.1171359633438681,2,Medium
J0Y,24,Quebec / Québec,758980.8299,965,3523462.2217093757,3651.256188299871,21,0.1271441862539722,464.23599686616734,24,Quebec / Québec,758980.8299,31,26,154.16666666666666,190.0,7.395769230769231,365.38461538461536,0.0040844246361379,2,Medium
J0Z,24,Quebec / Québec,26583.4089,106,2080.669763269617,19.62896003084544,17,0.3987449480190631,7.826948647167733,24,Quebec / Québec,26583.4089,25,19,166.36363636363637,215.0,8.25157894736842,375.2631578947368,0.0940436198158167,2,Medium
J3E,24,Quebec / Québec,48.4921,1,27.5,27.5,1,2.0621915734727927,56.71026827050179,24,Quebec / Québec,48.4921,2,0,125.0,125.0,,,4.124383146945585,0,Low
J5J,24,Quebec / Québec,111.2007,2,1.862830889109,0.9314154445545,2,1.7985498292726576,1.6751970887854124,24,Quebec / Québec,111.2007,1,0,115.0,115.0,,,0.8992749146363288,0,Low
J7N,24,Quebec / Québec,390.5746,1,3.06533598917,3.06533598917,1,0.2560330344062312,0.7848272747818216,24,Quebec / Québec,390.5746,2,1,,,,,0.5120660688124625,0,Low
J8A,24,Quebec / Québec,119.502,2,16.91471025365,8.457355126825,2,1.6736121571187093,14.154332357324565,24,Quebec / Québec,119.502,1,0,145.0,145.0,,,0.8368060785593546,0,Low
J8N,24,Quebec / Québec,612.097,4,17.9399357123,4.484983928075,2,0.6534911950230111,2.93089750681673,24,Quebec / Québec,612.097,2,1,190.0,190.0,27.1,910.0,0.3267455975115055,0,Low
J9L,24,Quebec / Québec,587.4207,4,7.585091691714,1.8962729229285,3,0.6809429766434857,1.291253728667376,24,Quebec / Québec,587.4207,2,1,150.0,155.0,0.7,80.0,0.3404714883217428,0,Low
J9P,24,Quebec / Québec,3763.974,13,43.891310205501,3.3762546311923844,10,0.3453796439614088,1.1660896224442836,24,Quebec / Québec,3763.974,5,4,156.25,190.0,7.305000000000001,432.5,0.1328383246005418,0,Low
J9Y,24,Quebec / Québec,1324.1501,6,117.442539091803,19.5737565153005,6,0.4531208357723191,8.86927691141684,24,Quebec / Québec,1324.1501,1,0,135.0,135.0,,,0.0755201392953865,0,Low
J9Z,24,Quebec / Québec,148.3596,3,8.077331705959999,2.692443901986666,3,2.022113836920564,5.444428069339631,24,Quebec / Québec,148.3596,1,0,145.0,145.0,,,0.6740379456401878,0,Low
K0G,35,Ontario,2675.2361,2,130.0,65.0,1,0.0747597567182948,4.859384186689168,35,Ontario,2675.2361,4,1,111.25,125.0,0.3,20.0,0.1495195134365897,0,Low
K0H,35,Ontario,5232.2271,1,146.0,146.0,1,0.019112320258423,2.790398757729762,35,Ontario,5232.2271,11,3,141.875,190.0,7.85,276.6666666666667,0.2102355228426533,0,Low
K0J,35,Ontario,6565.4195,5,1687.0,337.4,3,0.0761565959341973,25.695235468198184,35,Ontario,6565.4195,12,5,138.75,190.0,10.462,544.0,0.1827758302420736,0,Low
L0K,35,Ontario,1721.4541,1,75.0,75.0,1,0.0580904248332848,4.356781862496363,35,Ontario,1721.4541,11,2,132.5,180.0,10.555,435.0,0.6389946731661332,0,Low
L3V,35,Ontario,320.9005,1,61.0,61.0,1,0.3116230731955855,19.009007464930715,35,Ontario,320.9005,2,0,,,,,0.623246146391171,0,Low
L3Z,35,Ontario,157.2,1,100.0,100.0,1,0.6361323155216285,63.61323155216285,35,Ontario,157.2,1,0,,,,,0.6361323155216285,0,Low
N0M,35,Ontario,3593.2568,3,252.0,84.0,3,0.0834897188533811,7.013136383684016,35,Ontario,3593.2568,37,10,120.0,155.0,3.64625,145.0,1.029706532525034,2,Medium
N0P,35,Ontario,2849.2033,2,164.0,82.0,2,0.0701950611948259,5.755995017975726,35,Ontario,2849.2033,43,8,131.875,175.0,10.71,356.0,1.5091938156887574,0,Low
N0R,35,Ontario,784.0921,1,44.0,44.0,1,0.1275360381771478,5.611585679794504,35,Ontario,784.0921,14,2,134.375,165.0,7.395,385.0,1.7855045344800695,0,Low
N9C,35,Ontario,8.7536,2,202.0,101.0,2,22.84774264302687,2307.6220069457136,35,Ontario,8.7536,1,1,125.0,125.0,12.3,580.0,11.423871321513436,0,Low
N9J,35,Ontario,49.31,3,267.0,89.0,3,6.083958629081322,541.4723179882377,35,Ontario,49.31,1,0,100.0,100.0,,,2.0279862096937737,0,Low
